Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Emmatty F.J., Panicker V.V., Baradwaj K.C.",55340786600;54946804400;57223328600;,Ergonomic evaluation of work table for waste sorting tasks using digital human modelling,2021,International Journal of Industrial Ergonomics,84,,103146,,,,,10.1016/j.ergon.2021.103146,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105548300&doi=10.1016%2fj.ergon.2021.103146&partnerID=40&md5=fa22618352cb59c063931d327857c4ec,Ergonomic intervention; Jack software; Manual sorting; Musculoskeletal disorder; Sorting table,Cost effectiveness; Developing countries; Hoppers; Biomechanical evaluation; Digital human modelling; Ergonomic assessment; Ergonomic evaluation; Intervertebral discs; Musculoskeletal disorders; Physical workloads; Shoulder abductions; Ergonomics,Article,Final,,Scopus,2-s2.0-85105548300
"Martin A., Agnoletti M.-F., Brangier É.",57203528675;6507036516;6506731484;,"Ordinary users, precursory users and experts in the anticipation of future needs: Evaluation of their contribution in the elaboration of new needs in energy for housing",2021,Applied Ergonomics,94,,103394,,,,,10.1016/j.apergo.2021.103394,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101876015&doi=10.1016%2fj.apergo.2021.103394&partnerID=40&md5=f85a7da64dcf47624475ad4cbb69901d,Needs analysis and anticipation; Precursory users; Prospective ergonomics,Ergonomics; Physical therapy; Deep knowledge; Ergonomic intervention; Manual analysis; Needs analysis; Surveys; anticipation; article; ergonomics; housing; human; human experiment; interview; speech,Article,Final,,Scopus,2-s2.0-85101876015
"Hall A.D., La Delfa N.J., Loma C., Potvin J.R.",57222607848;55604649500;57222596452;16948501100;,A comparison between measured female linear arm strengths and estimates from the 3D Static Strength Prediction Program (3DSSPP),2021,Applied Ergonomics,94,,103415,,,,,10.1016/j.apergo.2021.103415,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103399368&doi=10.1016%2fj.apergo.2021.103415&partnerID=40&md5=24ed8de4bfbfab25bdc25ee917f61021,Occupational biomechanics; Physical ergonomics; Task assessment,Biomechanics; Arm posture; Body mass; Joint strength; Occupational biomechanics; Physical ergonomics; Segment lengths; Static strength; Strength prediction; Strength values; Task assessment; Ergonomics; adult; article; biomechanics; body position; controlled study; ergonomics; female; human; human experiment; major clinical study; prediction; shoulder,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85103399368
"Bye R.J., Holmen I.M., Størkersen K.V.",17343544000;54917557700;54409560500;,Safety in marine and maritime operations: Uniting systems and practice,2021,Safety Science,139,,105249,,,,,10.1016/j.ssci.2021.105249,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102829562&doi=10.1016%2fj.ssci.2021.105249&partnerID=40&md5=cdec95eb270e1968743fd392caa246e7,,attitude to health; automation; Brazil; Canada; cardiovascular disease; cognitive defect; data analysis; decision making; dehydration; Editorial; ergonomics; fatigue; fire protection; fishing; health status; human; incidence; interdisciplinary research; interpersonal communication; job performance; marine environment; medical research; mental stress; military service; muscle disease; Norway; occupational accident; occupational hazard; occupational health; physical activity; physical well-being; priority journal; risk assessment; safety; sailor; semi structured interview; ship; social work; society; South Africa; teamwork; work capacity,Editorial,Final,,Scopus,2-s2.0-85102829562
"Major M.-E., Clabault H., Wild P.",55767450100;55863249200;7102744037;,Interventions for the prevention of musculoskeletal disorders in a seasonal work context: A scoping review,2021,Applied Ergonomics,94,,103417,,,,,10.1016/j.apergo.2021.103417,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103639250&doi=10.1016%2fj.apergo.2021.103417&partnerID=40&md5=eb11d4b3e727fae0fce3e195f7a5ad59,Intervention; Musculoskeletal disorders; Occupational health and safety; Review studies; Seasonal work,Diseases; Ergonomics; Musculoskeletal system; Occupational risks; Search engines; Condition; Intervention; Musculoskeletal disorders; Occupational health and safety; Organizational constraints; Physical constraints; Review study; Scoping review; Seasonal work; Time constraints; Industrial hygiene; Article; controlled study; geographic distribution; human; intervention study; musculoskeletal disease; occupational exposure; occupational hazard; occupational health; occupational safety; risk assessment; seasonal work; work environment,Article,Final,,Scopus,2-s2.0-85103639250
"Steingraber C., Devries D., Eaton L., Smets M., Stephens A., Malone G., Porto R., Cort J.",57221853773;57221844363;57221851537;35300680400;14421730800;35580564000;57194723036;14420903000;,Physical demands associated with right-angle direct-current power-tools: An evaluation of current technology,2021,Applied Ergonomics,93,,103374,,,,,10.1016/j.apergo.2021.103374,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100396245&doi=10.1016%2fj.apergo.2021.103374&partnerID=40&md5=d07ae8e7689efc00a67171974c76d97d,Manufacturing ergonomics; Physical demands; Right-angle power tool,Hardness; Current technology; Direct current; Direct current power; Fastener location; Joint hardness; Physical demand; Short durations; Surface electromyography; Tools; article; controlled study; direct current; electromyography; ergonomics; hardness; human; kinematics; torque,Article,Final,,Scopus,2-s2.0-85100396245
"Schwartz A., Gerberich S.G., Albin T., Kim H., Ryan A.D., Church T.R., Green D.R., McGovern P.M., Erdman A.G., Arauz R.F.",57195643311;7004177185;24342740400;47561427900;7401432167;7102848504;57205576690;57220727656;7007082404;57140457800;,"Janitors’ mental workload, psychosocial factors, physical fitness, and injury: The SWEEP study",2021,International Journal of Industrial Ergonomics,83,,103132,,,,,10.1016/j.ergon.2021.103132,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103404116&doi=10.1016%2fj.ergon.2021.103132&partnerID=40&md5=df079922a6da325960685600fed190a4,Ergonomics; Janitors; Mental workload; Occupational injuries; Physical fitness; Psychosocial factors,Health; Job satisfaction; NASA; Surveys; Confidence interval; Cross-sectional study; Multivariable analysis; Occupational injury; Perceived Stress Scale; Physical fitness; Physical workloads; Psychosocial factors; Occupational risks; adult; aged; Article; cohort analysis; controlled study; cross-sectional study; ergonomics; female; fitness; human; job satisfaction; Job Satisfaction Scale; longitudinal study; major clinical study; male; mental stress; mental workload; occupational accident; Perceived Stress Scale; priority journal; prospective study; questionnaire; retrospective study; Single Item Stress Scale; social psychology; United States; workload,Article,Final,,Scopus,2-s2.0-85103404116
"Camino López M.A., Fontaneda I., González Alcántara O.J.",25626046100;25626194800;25626257200;,Musculoskeletal disorders among nursing assistants in Spain; a comparative study between old people's homes and hospitals,2021,Safety Science,137,,105182,,,,,10.1016/j.ssci.2021.105182,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099712386&doi=10.1016%2fj.ssci.2021.105182&partnerID=40&md5=da061c790a17c1c3ad644fbdfed12637,Musculoskeletal disorders; Nursing assistants; Overexertion,Musculoskeletal system; Nursing; Back-related injuries; Comparative studies; Musculo-skeletal injuries; Musculoskeletal disorders; Number of injuries; Older workers; Physical exercise; Related injuries; Hospitals; accident; adolescent; adult; ankle injury; arm injury; Article; comparative study; ergonomics; exercise; female; finger injury; foot injury; fracture; hand injury; hip injury; hospital; hospital personnel; human; injury; knee injury; leg injury; major clinical study; male; medical leave; middle aged; multiple trauma; musculoskeletal disease; neck injury; nursing assistant; nursing home; physical stress; priority journal; shoulder disease; shoulder injury; Spain; sprain; subluxation; time; wound; wrist injury; young adult,Article,Final,,Scopus,2-s2.0-85099712386
"Aydin Y., Sirintuna D., Basdogan C.",56084865200;57218282723;6603706568;,Towards collaborative drilling with a cobot using admittance controller,2021,Transactions of the Institute of Measurement and Control,43,8,,1760,1773,,1,10.1177/0142331220934643,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088586859&doi=10.1177%2f0142331220934643&partnerID=40&md5=5580853716fa56c222603a230ab9aed3,admittance control; augmented reality; cobot; collaborative drilling; dynamic characterization; Physical human-robot interaction; stability; transparency,Augmented reality; Controllers; Ergonomics; Infill drilling; Manufacture; Stability; Transparency; Collaborative robots; Complex manufacturing; Dynamical characterization; General methodologies; Natural communication; Optimal interactions; Physical humanrobot interaction (phri); Stability requirements; Social robots,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85088586859
"Chun-Yiu J.P., Man-Ha S.T., Chak-Lun A.F.",57223096267;57223082721;57223096309;,"The effects of pillow designs on neck pain, waking symptoms, neck disability, sleep quality and spinal alignment in adults: A systematic review and meta-analysis",2021,Clinical Biomechanics,85,,105353,,,,,10.1016/j.clinbiomech.2021.105353,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104816189&doi=10.1016%2fj.clinbiomech.2021.105353&partnerID=40&md5=36cba1992dac409edf46d7bfd7b6f14a,Ergonomics; Neck pain; Physiotherapy; Pillows; Sleep quality,Alignment; Ergonomics; Health; Physical therapy; Quality control; Rubber; Chronic neck pain; Condition; Meta-analysis; Neck pains; Pillow; Quality of life; Sleep quality; Spinal alignments; Systematic Review; Work quality; Sleep research,Review,Final,,Scopus,2-s2.0-85104816189
